C1,Data,Palettes,Pivot field names,key
C1,#3c3c3c,P2,Negative1,aax
C2,#920000,P2,Negative1,ah
C2,#1b4c79,P3,Trustworthy2,aafes
C2,#3c3c3c,P2,Playful3,aax
C2,#3c3c3c,P2,Trustworthy3,aax
C2,#3c3c3c,P4,Disturbing2,aax
C2,#3c3c3c,P4,Serious1,aax
C2,#3c3c3c,P5,Calm2,aax
C2,#3c3c3c,P5,Disturbing2,aax
C2,#5a922d,P1,Disturbing3,accykvo
C2,#6d6eb9,P1,Exciting3,agxgpuv
C2,#6d6eb9,P4,Exciting3,agxgpuv
C2,#6d6eb9,P4,Serious3,agxgpuv
C2,#6e746a,P2,Serious1,bbb
C3,#30355f,P2,Negative1,agtnmib
C2,#6e746a,P3,Serious1,bbb
C2,#6e746a,P4,Serious2,bbb
C2,#6e746a,P5,Serious2,bbb
C2,#8ad2f1,P1,Trustworthy2,acjjzgte
C2,#8ad2f1,P5,Positive3,acjjzgte
C2,#23bf0c,P1,Exciting1,acjl
C2,#23bf0c,P1,Positive1,acjl
C2,#23bf0c,P2,Exciting1,acjl
C2,#23bf0c,P2,Playful1,acjl
C2,#23bf0c,P2,Playful2,acjl
C2,#23bf0c,P2,Positive2,acjl
C2,#23bf0c,P2,Trustworthy1,acjl
C2,#23bf0c,P3,Playful2,acjl
C2,#23bf0c,P3,Positive1,acjl
C2,#23bf0c,P4,Positive2,acjl
C2,#23bf0c,P4,Trustworthy2,acjl
C2,#23bf0c,P5,Trustworthy2,acjl
C2,#83b3e3,P3,Positive3,aeghdclv
C2,#478f8d,P3,Serious3,aeoabft
C2,#0572cd,P2,Trustworthy2,afk
C2,#0572cd,P3,Exciting2,afk
C2,#0572cd,P4,Exciting2,afk
C2,#0572cd,P4,Playful3,afk
C2,#0572cd,P5,Playful3,afk
C2,#863e85,P2,Exciting2,afvtqju
C2,#863e85,P5,Calm3,afvtqju
C4,#c91e11,P2,Negative1,al
C2,#30355f,P1,Serious1,agtnmib
C2,#30355f,P1,Serious2,agtnmib
C2,#30355f,P2,Serious2,agtnmib
C2,#30355f,P3,Serious2,agtnmib
C2,#30355f,P5,Serious1,agtnmib
C5,#51692b,P2,Negative1,agy
C1,#51692b,P2,Negative2,agy
C2,#69301d,P1,Trustworthy3,aaznxc
C1,#69301d,P2,Disturbing1,aaznxc
C2,#845145,P2,Negative2,abeorvgn
C2,#920000,P2,Disturbing1,ah
C3,#a2ccc0,P2,Negative2,aiqyr
C2,#69301d,P5,Trustworthy3,aaznxc
C2,#116160,P1,Exciting2,aifhj
C2,#116160,P2,Exciting3,aifhj
C4,#dfb0c7,P2,Negative2,aldceid
C5,#ff8000,P2,Negative2,aijqmq
C2,#845145,P2,Disturbing2,abeorvgn
C1,#116160,P2,Negative3,aifhj
C2,#845145,P2,Positive3,abeorvgn
C2,#845145,P3,Disturbing2,abeorvgn
C2,#1b4c79,P2,Negative3,aafes
C2,#845145,P4,Trustworthy3,abeorvgn
C2,#899390,P2,Disturbing3,amyedqd
C3,#83b3e3,P2,Negative3,aeghdclv
C3,#3c3c3c,P2,Disturbing1,aax
C4,#c91e11,P2,Disturbing1,al
C4,#0073aa,P2,Negative3,aeewmcsb
C2,#920000,P3,Calm3,ah
C5,#f3d027,P2,Disturbing1,alszejt
C2,#a2ccc0,P1,Calm1,aiqyr
C2,#a2ccc0,P1,Serious3,aiqyr
C2,#a2ccc0,P5,Calm1,aiqyr
C2,#a857aa,P5,Exciting2,ajuwmntr
C2,#add9a1,P1,Trustworthy1,akiq
C2,#add9a1,P3,Calm1,akiq
C2,#add9a1,P3,Exciting3,akiq
C2,#add9a1,P4,Trustworthy1,akiq
C2,#add9a1,P5,Trustworthy1,akiq
C2,#b7de55,P1,Calm2,akosuvre
C2,#b7de55,P1,Positive2,akosuvre
C2,#b7de55,P5,Positive2,akosuvre
C2,#c91e11,P1,Calm3,al
C2,#c91e11,P1,Disturbing2,al
C2,#c91e11,P1,Positive3,al
C2,#c91e11,P2,Calm3,al
C2,#c91e11,P3,Trustworthy3,al
C2,#d4d4d4,P3,Calm2,aici
C2,#ddd8ba,P4,Calm1,alasg
C2,#ddd8ba,P5,Disturbing3,alasg
C2,#dfb0c7,P4,Positive3,aldceid
C2,#eac793,P1,Playful3,alj
C2,#eac793,P2,Calm1,alj
C2,#eac793,P5,Exciting3,alj
C5,#5a922d,P2,Negative3,accykvo
C2,#f1d9ca,P3,Playful3,acbstb
C2,#f3d027,P3,Exciting1,alszejt
C2,#f3d027,P3,Trustworthy1,alszejt
C2,#f3d027,P4,Calm3,alszejt
C2,#f3d027,P4,Exciting1,alszejt
C2,#f3d027,P5,Serious3,alszejt
C2,#f80f19,P2,Serious3,amvb
C2,#f80f19,P5,Playful2,amvb
C2,#f9468c,P1,Playful1,anau
C2,#f9468c,P3,Disturbing3,anau
C2,#f9468c,P3,Playful1,anau
C2,#f9468c,P4,Disturbing3,anau
C2,#f9468c,P4,Playful1,anau
C2,#f9468c,P5,Exciting1,anau
C2,#f9468c,P5,Playful1,anau
C2,#ff8000,P1,Playful2,aijqmq
C2,#ff8000,P4,Playful2,aijqmq
C2,#ffab1c,P2,Positive1,bab
C2,#ffab1c,P3,Positive2,bab
C2,#ffab1c,P4,Positive1,bab
C2,#ffab1c,P5,Positive1,bab
C3,#00beb9,P3,Playful2,a
C1,#3c3c3c,P3,Negative1,aax
C3,#1b4c79,P3,Positive3,aafes
C2,#845145,P3,Negative1,abeorvgn
C3,#899390,P3,Negative1,amyedqd
C1,#f80f19,P3,Disturbing1,amvb
C2,#920000,P3,Disturbing1,ah
C3,#3c3c3c,P3,Disturbing1,aax
C3,#3c3c3c,P5,Trustworthy3,aax
C3,#5a922d,P1,Calm2,accykvo
C3,#6d6eb9,P2,Calm2,agxgpuv
C3,#6d6eb9,P3,Exciting2,agxgpuv
C3,#6d6eb9,P5,Exciting3,agxgpuv
C4,#845145,P3,Disturbing1,abeorvgn
C3,#23bf0c,P2,Positive1,acjl
C3,#23bf0c,P3,Exciting1,acjl
C3,#23bf0c,P3,Trustworthy1,acjl
C3,#23bf0c,P4,Playful1,acjl
C3,#23bf0c,P4,Positive1,acjl
C3,#23bf0c,P5,Playful1,acjl
C3,#23bf0c,P5,Positive1,acjl
C3,#32bff2,P1,Positive2,adwfemsg
C3,#32bff2,P2,Playful2,adwfemsg
C3,#32bff2,P2,Trustworthy1,adwfemsg
C3,#32bff2,P4,Positive2,adwfemsg
C3,#32bff2,P4,Trustworthy2,adwfemsg
C3,#32bff2,P5,Playful2,adwfemsg
C3,#32bff2,P5,Trustworthy2,adwfemsg
C3,#0073aa,P1,Exciting3,aeewmcsb
C3,#0073aa,P3,Exciting3,aeewmcsb
C4,#6e746a,P3,Negative1,bbb
C5,#c91e11,P3,Negative1,al
C3,#83b3e3,P2,Serious3,aeghdclv
C3,#423fa8,P2,Exciting1,bcd
C3,#423fa8,P5,Playful3,bcd
C3,#478f8d,P5,Calm1,aeoabft
C3,#0572cd,P1,Trustworthy2,afk
C3,#0572cd,P3,Trustworthy2,afk
C3,#0572cd,P4,Positive3,afk
C3,#863e85,P2,Trustworthy2,afvtqju
C3,#863e85,P3,Playful3,afvtqju
C3,#9796bb,P2,Positive3,abhi
C1,#69301d,P3,Negative2,aaznxc
C2,#6e746a,P3,Negative2,bbb
C3,#0073aa,P3,Negative2,aeewmcsb
C3,#30355f,P3,Disturbing2,agtnmib
C3,#30355f,P3,Serious1,agtnmib
C3,#30355f,P4,Serious2,agtnmib
C3,#51692b,P4,Calm2,agy
C3,#69301d,P1,Serious1,aaznxc
C3,#69301d,P1,Serious2,aaznxc
C3,#116160,P2,Playful3,aifhj
C3,#116160,P4,Calm3,aifhj
C3,#116160,P4,Exciting3,aifhj
C4,#ffab1c,P3,Negative2,bab
C3,#335671,P5,Calm3,bcde
C3,#335671,P5,Serious1,bcde
C5,#478f8d,P3,Negative2,aeoabft
C3,#845145,P1,Playful3,abeorvgn
C3,#845145,P2,Exciting2,abeorvgn
C3,#845145,P4,Disturbing2,abeorvgn
C1,#c91e11,P3,Negative3,al
C3,#845145,P5,Disturbing2,abeorvgn
C2,#f1d9ca,P3,Negative3,acbstb
C3,#899390,P3,Serious2,amyedqd
C3,#899390,P5,Serious2,amyedqd
C3,#920000,P1,Exciting1,ah
C3,#920000,P2,Serious1,ah
C3,#920000,P2,Serious2,ah
C3,#920000,P3,Trustworthy3,ah
C5,#30355f,P3,Disturbing1,agtnmib
C3,#1b4c79,P3,Negative3,aafes
C4,#83b3e3,P3,Negative3,aeghdclv
C3,#a2ccc0,P5,Trustworthy1,aiqyr
C3,#a5b34b,P1,Calm3,ajoiowx
C3,#a5b34b,P1,Exciting2,ajoiowx
C3,#a5b34b,P1,Positive3,ajoiowx
C3,#a5b34b,P2,Calm3,ajoiowx
C3,#a5b34b,P2,Disturbing2,ajoiowx
C3,#a5b34b,P2,Exciting3,ajoiowx
C3,#a5b34b,P5,Calm2,ajoiowx
C3,#a857aa,P3,Serious3,ajuwmntr
C3,#a857aa,P5,Serious3,ajuwmntr
C3,#add9a1,P1,Calm1,akiq
C3,#add9a1,P4,Exciting2,akiq
C3,#b7de55,P1,Positive1,akosuvre
C3,#b7de55,P2,Positive2,akosuvre
C3,#b7de55,P3,Calm2,akosuvre
C3,#b7de55,P3,Disturbing3,akosuvre
C3,#b7de55,P3,Positive1,akosuvre
C3,#b7de55,P4,Disturbing3,akosuvre
C3,#b7de55,P4,Playful3,akosuvre
C3,#c91e11,P1,Trustworthy3,al
C3,#c91e11,P3,Calm3,al
C3,#d4d4d4,P2,Calm1,aici
C3,#d4d4d4,P4,Calm1,aici
C3,#eac793,P5,Exciting2,alj
C3,#eac793,P5,Positive3,alj
C3,#f1d9ca,P1,Disturbing3,acbstb
C3,#f1d9ca,P2,Disturbing3,acbstb
C3,#f1d9ca,P3,Calm1,acbstb
C3,#f1d9ca,P5,Disturbing3,acbstb
C3,#f3d027,P1,Disturbing2,alszejt
C3,#f3d027,P1,Trustworthy1,alszejt
C3,#f3d027,P4,Trustworthy1,alszejt
C3,#f3d027,P5,Exciting1,alszejt
C3,#f80f19,P1,Playful2,amvb
C3,#f80f19,P4,Exciting1,amvb
C3,#f80f19,P4,Playful2,amvb
C3,#f80f19,P4,Serious1,amvb
C3,#f9468c,P2,Trustworthy3,anau
C3,#f9468c,P4,Trustworthy3,anau
C3,#f9468c,P5,Positive2,anau
C5,#0073aa,P3,Negative3,aeewmcsb
C3,#ff8000,P2,Playful1,aijqmq
C3,#ff8000,P3,Playful1,aijqmq
C3,#ff8000,P3,Positive2,aijqmq
C3,#ffab1c,P1,Playful1,bab
C3,#ffab1c,P1,Serious3,bab
C3,#ffab1c,P4,Serious3,bab
C4,#00beb9,P1,Positive2,a
C4,#00beb9,P5,Calm1,a
C4,#00beb9,P5,Playful2,a
C4,#1b4c79,P2,Positive3,aafes
C4,#1b4c79,P3,Serious2,aafes
C4,#1b4c79,P4,Positive3,aafes
C1,#3c3c3c,P4,Negative1,aax
C4,#3c3c3c,P1,Exciting2,aax
C4,#3c3c3c,P1,Exciting3,aax
C1,#f80f19,P4,Disturbing1,amvb
C4,#5a922d,P2,Positive2,accykvo
C4,#5a922d,P4,Positive2,accykvo
C2,#69301d,P4,Negative1,aaznxc
C4,#6d6eb9,P1,Positive3,agxgpuv
C4,#6d6eb9,P2,Disturbing3,agxgpuv
C4,#6d6eb9,P3,Exciting1,agxgpuv
C3,#845145,P4,Negative1,abeorvgn
C4,#8ad2f1,P1,Serious3,acjjzgte
C4,#8ad2f1,P2,Trustworthy1,acjjzgte
