id,source,target,weight
#23bf0c#0878b0,#23bf0c,#0878b0,1
#40c9ff#a857aa,#40c9ff,#a857aa,1
#ccd61b#fc1a00,#ccd61b,#fc1a00,1
#91d2f5#f27c13,#91d2f5,#f27c13,1
#24beb9#c67036,#24beb9,#c67036,1
#6e47bc#f27c13,#6e47bc,#f27c13,1
#6e47bc#24beb9,#6e47bc,#24beb9,1
#a2ccc0#fc1a00,#a2ccc0,#fc1a00,1
#a2ccc0#f8b010,#a2ccc0,#f8b010,1
#23bf0c#a2ccc0,#23bf0c,#a2ccc0,1
#6e47bc#a2ccc0,#6e47bc,#a2ccc0,1
#6e47bc#ccd61b,#6e47bc,#ccd61b,1
#c67036#eac793,#c67036,#eac793,1
#87acec#eac793,#87acec,#eac793,1
#87acec#c67036,#87acec,#c67036,1
#23bf0c#eac793,#23bf0c,#eac793,1
#23bf0c#87acec,#23bf0c,#87acec,1
#6d6eb9#eac793,#6d6eb9,#eac793,1
#6d6eb9#c67036,#6d6eb9,#c67036,1
#6d6eb9#87acec,#6d6eb9,#87acec,1
#6d6eb9#23bf0c,#6d6eb9,#23bf0c,1
#87acec#91d2f5,#87acec,#91d2f5,2
#ccd61b#fc1a00,#ccd61b,#fc1a00,2
#f8b010#f27c13,#f8b010,#f27c13,2
#0878b0#fc1a00,#0878b0,#fc1a00,2
#0878b0#f8b010,#0878b0,#f8b010,2
#23bf0c#0878b0,#23bf0c,#0878b0,2
#6e47bc#0878b0,#6e47bc,#0878b0,2
#f27c13#f64389,#f27c13,#f64389,2
#f3d02d#f27c13,#f3d02d,#f27c13,2
#6e47bc#f27c13,#6e47bc,#f27c13,2
#6e47bc#f8b010,#6e47bc,#f8b010,2
#6e47bc#ccd61b,#6e47bc,#ccd61b,2
#6e47bc#40c9ff,#6e47bc,#40c9ff,2
#40c9ff#f8b010,#40c9ff,#f8b010,2
#91d2f5#f3d02d,#91d2f5,#f3d02d,2
#40c9ff#853d84,#40c9ff,#853d84,2
#cf2616#f8b010,#cf2616,#f8b010,2
#40c9ff#ddb1c7,#40c9ff,#ddb1c7,2
#c67036#f27c13,#c67036,#f27c13,2
#a857aa#f8b010,#a857aa,#f8b010,2
#0878b0#fc1a00,#0878b0,#fc1a00,2
#0878b0#f64389,#0878b0,#f64389,2
#a857aa#f27c13,#a857aa,#f27c13,2
#f3d02d#f8b010,#f3d02d,#f8b010,2
#23bf0c#ccd61b,#23bf0c,#ccd61b,2
#91d2f5#f64389,#91d2f5,#f64389,2
#91d2f5#f3d02d,#91d2f5,#f3d02d,2
#23bf0c#91d2f5,#23bf0c,#91d2f5,2
#c67036#f64389,#c67036,#f64389,2
#c67036#f8b010,#c67036,#f8b010,2
#a857aa#f64389,#a857aa,#f64389,2
#24beb9#a857aa,#24beb9,#a857aa,2
#23bf0c#a857aa,#23bf0c,#a857aa,2
#24beb9#f27c13,#24beb9,#f27c13,2
#40c9ff#f8b010,#40c9ff,#f8b010,2
#6e47bc#fc1a00,#6e47bc,#fc1a00,2
#6e47bc#f8b010,#6e47bc,#f8b010,2
#6e47bc#23bf0c,#6e47bc,#23bf0c,2
#23bf0c#c67036,#23bf0c,#c67036,2
#a857aa#f3d02d,#a857aa,#f3d02d,3
#ccd61b#f8b010,#ccd61b,#f8b010,3
#40c9ff#a857aa,#40c9ff,#a857aa,3
#23bf0c#a857aa,#23bf0c,#a857aa,3
#0878b0#f3d02d,#0878b0,#f3d02d,3
#ccd61b#f27c13,#ccd61b,#f27c13,3
#f8b010#f64389,#f8b010,#f64389,3
#6e47bc#f3d02d,#6e47bc,#f3d02d,3
#f8b010#fc1a00,#f8b010,#fc1a00,3
#91d2f5#ccd61b,#91d2f5,#ccd61b,3
#24beb9#f8b010,#24beb9,#f8b010,3
#a857aa#f3d02d,#a857aa,#f3d02d,3
#f8b010#fc1a00,#f8b010,#fc1a00,3
#6e47bc#f3d02d,#6e47bc,#f3d02d,3
#6e47bc#40c9ff,#6e47bc,#40c9ff,3
#40c9ff#0878b0,#40c9ff,#0878b0,4
#f64389#fc1a00,#f64389,#fc1a00,4
#a857aa#f64389,#a857aa,#f64389,4
#0878b0#f64389,#0878b0,#f64389,4
#f3d02d#f8b010,#f3d02d,#f8b010,4
#23bf0c#ccd61b,#23bf0c,#ccd61b,4
#6e47bc#23bf0c,#6e47bc,#23bf0c,4
#23bf0c#f8b010,#23bf0c,#f8b010,4
#23bf0c#f27c13,#23bf0c,#f27c13,4
#23bf0c#f8b010,#23bf0c,#f8b010,4
#ccd61b#f3d02d,#ccd61b,#f3d02d,4
#40c9ff#ccd61b,#40c9ff,#ccd61b,4
#6e47bc#f64389,#6e47bc,#f64389,4
#f3d02d#fc1a00,#f3d02d,#fc1a00,5
#ccd61b#f64389,#ccd61b,#f64389,5
#40c9ff#ccd61b,#40c9ff,#ccd61b,5
#6e47bc#f64389,#6e47bc,#f64389,5
#40c9ff#fc1a00,#40c9ff,#fc1a00,5
#f3d02d#fc1a00,#f3d02d,#fc1a00,5
#40c9ff#fc1a00,#40c9ff,#fc1a00,5
#40c9ff#f27c13,#40c9ff,#f27c13,5
#24beb9#f3d02d,#24beb9,#f3d02d,5
#ccd61b#f3d02d,#ccd61b,#f3d02d,6
#23bf0c#40c9ff,#23bf0c,#40c9ff,6
#f8b010#f64389,#f8b010,#f64389,6
#f27c13#f64389,#f27c13,#f64389,6
#23bf0c#24beb9,#23bf0c,#24beb9,6
#ccd61b#f64389,#ccd61b,#f64389,6
#40c9ff#f3d02d,#40c9ff,#f3d02d,7
#23bf0c#fc1a00,#23bf0c,#fc1a00,7
#f3d02d#f27c13,#f3d02d,#f27c13,7
#24beb9#f64389,#24beb9,#f64389,7
#23bf0c#fc1a00,#23bf0c,#fc1a00,7
